Date/Time	Latitude_N	Longitude_E	SWD [W/m**2]	PAR down above surface W/m2	PAR just below surf (W/m2)	PAR just below surface (µmol)
2015-05-20T22:15	58.6538	3.784	-1	-0.47	-0.54144	-2.4852096
2015-05-20T22:25	58.6788	3.7519	-1	-0.47	-0.54144	-2.4852096
2015-05-20T22:35	58.7035	3.7191	-1	-0.47	-0.54144	-2.4852096
2015-05-20T22:45	58.7282	3.6858	-1	-0.47	-0.54144	-2.4852096
2015-05-20T22:55	58.753	3.654	-1	-0.47	-0.54144	-2.4852096
2015-05-20T23:05	58.7772	3.6216	-1	-0.47	-0.54144	-2.4852096
2015-05-20T23:15	58.8015	3.5892	0	0	0	0
2015-05-20T23:25	58.8261	3.5573	0	0	0	0
2015-05-20T23:35	58.8534	3.5439	0	0	0	0
2015-05-20T23:45	58.883	3.5392	-1	-0.47	-0.54144	-2.4852096
2015-05-20T23:55	58.912	3.5352	0	0	0	0
2015-05-21T00:05	58.941	3.5301	0	0	0	0
2015-05-21T00:15	58.9702	3.5253	0	0	0	0
2015-05-21T00:25	58.9992	3.5213	0	0	0	0
2015-05-21T00:35	59.0281	3.5164	0	0	0	0
2015-05-21T00:45	59.0568	3.5122	0	0	0	0
2015-05-21T00:55	59.086	3.507	0	0	0	0
2015-05-21T01:05	59.1155	3.5026	0	0	0	0
2015-05-21T01:15	59.1447	3.498	0	0	0	0
2015-05-21T01:25	59.1742	3.4934	0	0	0	0
2015-05-21T01:35	59.2034	3.4883	0	0	0	0
2015-05-21T01:45	59.2325	3.4838	0	0	0	0
2015-05-21T01:55	59.2613	3.4787	0	0	0	0
2015-05-21T02:05	59.29	3.474	0	0	0	0
2015-05-21T02:15	59.3189	3.47	0	0	0	0
2015-05-21T02:25	59.3483	3.465	0	0	0	0
2015-05-21T02:35	59.3776	3.4598	0	0	0	0
2015-05-21T02:45	59.4071	3.4551	0	0	0	0
2015-05-21T02:55	59.4364	3.4508	1	0.47	0.54144	2.4852096
2015-05-21T03:05	59.4651	3.4459	3	1.41	1.62432	7.4556288
2015-05-21T03:15	59.4938	3.4409	8	3.76	4.33152	19.8816768
